year,sex,name,n,rank,nation
1996,F,LOIS,356,130,England & Wales
1996,F,ELOISE,351,131,England & Wales
1996,F,TIA,349,132,England & Wales
1996,F,TIFFANY,346,133,England & Wales
1996,F,TAYLOR,340,134,England & Wales
1996,F,MAISIE,335,135,England & Wales
1996,F,KERRY,333,136,England & Wales
1996,F,SASHA,333,136,England & Wales
1996,F,SIOBHAN,332,138,England & Wales
1996,F,AISHA,328,139,England & Wales
1996,F,MILLIE,324,140,England & Wales
1996,F,DANIELLA,319,141,England & Wales
1996,F,SHAUNA,316,142,England & Wales
1996,F,GABRIELLA,313,143,England & Wales
1996,F,SALLY,309,144,England & Wales
1996,F,HELENA,308,145,England & Wales
1996,F,APRIL,300,146,England & Wales
1996,F,JASMIN,299,147,England & Wales
1996,F,AMIE,297,148,England & Wales
1996,F,CLAUDIA,290,149,England & Wales
1996,F,JENNA,289,150,England & Wales
1996,F,PHILIPPA,289,150,England & Wales
1996,F,ASHLEY,287,152,England & Wales
1996,F,MICHELLE,285,153,England & Wales
1996,F,NADIA,285,153,England & Wales
1996,F,NIKITA,284,155,England & Wales
1996,F,CARA,282,156,England & Wales
1996,F,FIONA,278,157,England & Wales
1996,F,ABBY,276,158,England & Wales
1996,F,CIARA,276,158,England & Wales
1996,F,RHIANNA,276,158,England & Wales
1996,F,ALEX,274,161,England & Wales
1996,F,FRANCES,274,161,England & Wales
1996,F,LORNA,274,161,England & Wales
1996,F,SABRINA,272,164,England & Wales
1996,F,AYESHA,271,165,England & Wales
1996,F,BROOKE,269,166,England & Wales
1996,F,HOPE,268,167,England & Wales
1996,F,JOANNE,265,168,England & Wales
1996,F,ZARA,265,168,England & Wales
1996,F,AMANDA,264,170,England & Wales
1996,F,JOSEPHINE,262,171,England & Wales
1996,F,CHARLEY,256,172,England & Wales
1996,F,CHRISTINA,256,172,England & Wales
1996,F,LARA,255,174,England & Wales
1996,F,ELISE,253,175,England & Wales
1996,F,MORGAN,252,176,England & Wales
1996,F,KATRINA,251,177,England & Wales
1996,F,ELLE,250,178,England & Wales
1996,F,ABBEY,249,179,England & Wales
1996,F,INDIA,245,180,England & Wales
1996,F,ROSE,244,181,England & Wales
1996,F,BILLIE,242,182,England & Wales
1996,F,CAROLINE,242,182,England & Wales
1996,F,ELISHA,240,184,England & Wales
1996,F,SIMRAN,240,184,England & Wales
1996,F,BRITTANY,238,186,England & Wales
1996,F,CARLY,235,187,England & Wales
1996,F,LOUISA,235,187,England & Wales
1996,F,SADIE,235,187,England & Wales
1996,F,ANTONIA,234,190,England & Wales
1996,F,ESTHER,231,191,England & Wales
1996,F,CARLA,230,192,England & Wales
1996,F,SAVANNAH,230,192,England & Wales
1996,F,FLORENCE,228,194,England & Wales
1996,F,ANNABELLE,225,195,England & Wales
1996,F,KIRSTEN,225,195,England & Wales
1996,F,KIERA,221,197,England & Wales
1996,F,JAMIE,220,198,England & Wales
1996,F,CARYS,217,199,England & Wales
1996,F,CLARE,216,200,England & Wales
1996,F,CASEY,215,201,England & Wales
1996,F,ELENA,213,202,England & Wales
1996,F,VANESSA,213,202,England & Wales
1996,F,POLLY,212,204,England & Wales
1996,F,KEELEY,209,205,England & Wales
1996,F,SUMMER,203,206,England & Wales
1996,F,DEANNA,202,207,England & Wales
1996,F,SINEAD,202,207,England & Wales
1996,F,FFION,201,209,England & Wales
1996,F,SHELBY,201,209,England & Wales
1996,F,EBONY,200,211,England & Wales
1996,F,MATILDA,200,211,England & Wales
1996,F,SHANICE,200,211,England & Wales
1996,F,MARTHA,198,214,England & Wales
1996,F,JOSIE,197,215,England & Wales
1996,F,SCARLETT,195,216,England & Wales
1996,F,JESSIE,194,217,England & Wales
1996,F,HEIDI,193,218,England & Wales
1996,F,RHIAN,192,219,England & Wales
1996,F,LIBBY,191,220,England & Wales
1996,F,GEORGIE,190,221,England & Wales
1996,F,MADELINE,188,222,England & Wales
1996,F,CHELSEY,184,223,England & Wales
1996,F,JULIA,184,223,England & Wales
1996,F,ALISON,181,225,England & Wales
1996,F,KIRA,181,225,England & Wales
1996,F,KATHLEEN,179,227,England & Wales
1996,F,JEMIMA,177,228,England & Wales
1996,F,MARYAM,176,229,England & Wales
1996,F,TYLER,175,230,England & Wales
1996,F,MARIAM,171,231,England & Wales
1996,F,SASKIA,171,231,England & Wales
1996,F,ALANA,170,233,England & Wales
1996,F,FERN,170,233,England & Wales
1996,F,MADISON,169,235,England & Wales
1996,F,TANYA,169,235,England & Wales
1996,F,DANA,167,237,England & Wales
1996,F,EVIE,167,237,England & Wales
1996,F,MELANIE,166,239,England & Wales
1996,F,SAFFRON,166,239,England & Wales
1996,F,BROGAN,165,241,England & Wales
1996,F,NADINE,165,241,England & Wales
1996,F,SHONA,165,241,England & Wales
1996,F,CHELSIE,161,244,England & Wales
1996,F,MIRIAM,161,244,England & Wales
1996,F,KIRSTIE,160,246,England & Wales
1996,F,NINA,159,247,England & Wales
1996,F,SELINA,158,248,England & Wales
1996,F,SIMONE,158,248,England & Wales
1996,F,PARIS,157,250,England & Wales
1996,F,NANCY,156,251,England & Wales
1996,F,ZAINAB,154,252,England & Wales
1996,F,FATIMA,153,253,England & Wales
1996,F,AMINA,151,254,England & Wales
1996,F,KARA,148,255,England & Wales
1996,F,ELIZA,147,256,England & Wales
1996,F,JENNY,147,256,England & Wales
1996,F,BECKY,146,258,England & Wales
1996,F,MAYA,145,259,England & Wales
1996,F,ADELE,144,260,England & Wales
1996,F,BETHANIE,144,260,England & Wales
1996,F,CONNIE,144,260,England & Wales
1996,F,KATHARINE,144,260,England & Wales
1996,F,LIBERTY,144,260,England & Wales
1996,F,ROSEMARY,144,260,England & Wales
1996,F,ANGHARAD,141,266,England & Wales
1996,F,HAZEL,141,266,England & Wales
1996,F,MEGHAN,141,266,England & Wales
1996,F,SERENA,139,269,England & Wales
1996,F,LAYLA,138,270,England & Wales
1996,F,EVA,137,271,England & Wales
1996,F,TAMSIN,137,271,England & Wales
1996,F,EDEN,136,273,England & Wales
1996,F,ELINOR,136,273,England & Wales
1996,F,LEONIE,136,273,England & Wales
1996,F,LUCIE,136,273,England & Wales
1996,F,TERRI,136,273,England & Wales
1996,F,ESME,135,278,England & Wales
1996,F,MADDISON,134,279,England & Wales
1996,F,ROISIN,134,279,England & Wales
1996,F,SANA,133,281,England & Wales
1996,F,KEELY,132,282,England & Wales
1996,F,LUCINDA,132,282,England & Wales
1996,F,TABITHA,132,282,England & Wales
1996,F,COURTENEY,130,285,England & Wales
1996,F,KIRAN,130,285,England & Wales
1996,F,SKYE,130,285,England & Wales
1996,F,MARIE,129,288,England & Wales
1996,F,TAYLA,129,288,England & Wales
1996,F,CORAL,128,290,England & Wales
1996,F,ROCHELLE,128,290,England & Wales
1996,F,SOFIA,128,290,England & Wales
1996,F,IONA,127,293,England & Wales
1996,F,KAYLEY,127,293,England & Wales
1996,F,FELICITY,126,295,England & Wales
1996,F,ANISA,125,296,England & Wales
1996,F,LEIGH,125,296,England & Wales
1996,F,ROXANNE,125,296,England & Wales
1996,F,SONIA,125,296,England & Wales
1996,F,MONIQUE,123,300,England & Wales
1996,F,ELLIS,120,301,England & Wales
1996,F,DEBORAH,118,302,England & Wales
1996,F,RIA,118,302,England & Wales
1996,F,ANYA,117,304,England & Wales
1996,F,BEATRICE,117,304,England & Wales
1996,F,KIMBERLY,117,304,England & Wales
1996,F,CHANEL,116,307,England & Wales
1996,F,FAITH,116,307,England & Wales
1996,F,CONSTANCE,115,309,England & Wales
1996,F,DOMINIQUE,115,309,England & Wales
1996,F,CODY,114,311,England & Wales
1996,F,VERITY,114,311,England & Wales
1996,F,ANASTASIA,113,313,England & Wales
1996,F,CELINE,113,313,England & Wales
1996,F,MIRANDA,113,313,England & Wales
1996,F,JANE,112,316,England & Wales
1996,F,RHIANNE,112,316,England & Wales
1996,F,TEGAN,112,316,England & Wales
1996,F,AALIYAH,111,319,England & Wales
1996,F,ANISHA,111,319,England & Wales
1996,F,CASSANDRA,111,319,England & Wales
1996,F,CHARMAINE,111,319,England & Wales
1996,F,HARLEY,111,319,England & Wales
1996,F,SHARNA,111,319,England & Wales
1996,F,SUSANNAH,109,325,England & Wales
1996,F,YASMINE,109,325,England & Wales
1996,F,CHRISTIE,107,327,England & Wales
1996,F,CLARA,107,327,England & Wales
1996,F,CRYSTAL,107,327,England & Wales
1996,F,DARCY,107,327,England & Wales
1996,F,ALIX,106,331,England & Wales
1996,F,DEVON,106,331,England & Wales
1996,F,EVANGELINE,106,331,England & Wales
1996,F,ZAHRA,106,331,England & Wales
1996,F,TILLY,105,335,England & Wales
1996,F,ATLANTA,103,336,England & Wales
1996,F,CATRIN,102,337,England & Wales
1996,F,DANNIELLE,102,337,England & Wales
1996,F,LOREN,102,337,England & Wales
1996,F,NIA,102,337,England & Wales
1996,F,NIKKI,102,337,England & Wales
1996,F,FLORA,101,342,England & Wales
1996,F,IQRA,101,342,England & Wales
1996,F,PRIYA,101,342,England & Wales
1996,F,KIRBY,100,345,England & Wales
1996,F,ANGEL,99,346,England & Wales
1996,F,BRIONY,99,346,England & Wales
1996,F,ROSANNA,99,346,England & Wales
1996,F,DANNI,98,349,England & Wales
1996,F,JACQUELINE,98,349,England & Wales
1996,F,LUCIA,98,349,England & Wales
1996,F,SYDNEY,98,349,England & Wales
1996,F,CARRIE,97,353,England & Wales
1996,F,EMILIE,96,354,England & Wales
1996,F,KERRI,96,354,England & Wales
1996,F,BONNIE,95,356,England & Wales
1996,F,EMILIA,95,356,England & Wales
1996,F,WHITNEY,95,356,England & Wales
1996,F,AYSHA,94,359,England & Wales
1996,F,KEIRA,94,359,England & Wales
1996,F,CHRISTINE,93,361,England & Wales
1996,F,MONICA,93,361,England & Wales
1996,F,RHEA,93,361,England & Wales
1996,F,CERYS,92,364,England & Wales
1996,F,ELLENA,92,364,England & Wales
1996,F,SUZANNE,92,364,England & Wales
1996,F,TAMMY,92,364,England & Wales
1996,F,CHEYENNE,91,368,England & Wales
1996,F,DAYNA,91,368,England & Wales
1996,F,FAY,91,368,England & Wales
1996,F,LOWRI,91,368,England & Wales
1996,F,CATRIONA,90,372,England & Wales
1996,F,RIANNA,90,372,England & Wales
1996,F,SADIA,90,372,England & Wales
1996,F,DIONNE,89,375,England & Wales
1996,F,KENNEDY,89,375,England & Wales
1996,F,LILLY,89,375,England & Wales
1996,F,MARGARET,89,375,England & Wales
1996,F,SYEDA,89,375,England & Wales
1996,F,ELISABETH,88,380,England & Wales
1996,F,JODI,88,380,England & Wales
1996,F,ANGELA,87,382,England & Wales
1996,F,ISLA,87,382,England & Wales
1996,F,KIM,87,382,England & Wales
1996,F,FLEUR,86,385,England & Wales
1996,F,STEVIE,86,385,England & Wales
1996,F,TALIA,86,385,England & Wales
1996,F,ALANNAH,85,388,England & Wales
1996,F,CASSIE,85,388,England & Wales
1996,F,HALIMA,85,388,England & Wales
1996,F,LACEY,85,388,England & Wales
1996,F,SHELLEY,84,392,England & Wales
1996,F,CHANELLE,83,393,England & Wales
1996,F,LEILA,83,393,England & Wales
1996,F,SHIVANI,83,393,England & Wales
1996,F,TANISHA,83,393,England & Wales
1996,F,ANEESA,82,397,England & Wales
1996,F,HENNA,82,397,England & Wales
1996,F,SUSAN,82,397,England & Wales
1996,F,HANNA,81,400,England & Wales
1996,F,PENNY,81,400,England & Wales
1996,F,AUTUMN,80,402,England & Wales
1996,F,CERI,80,402,England & Wales
1996,F,EVELYN,80,402,England & Wales
1996,F,GINA,80,402,England & Wales
1996,F,LINDSEY,80,402,England & Wales
1996,F,MARIAH,80,402,England & Wales
1996,F,LANA,79,408,England & Wales
1996,F,NATALIA,79,408,England & Wales
1996,F,ALEXANDRIA,78,410,England & Wales
1996,F,CHARLENE,78,410,England & Wales
1996,F,CLARISSA,78,410,England & Wales
1996,F,ERICA,78,410,England & Wales
1996,F,TESSA,78,410,England & Wales
1996,F,KAYA,77,415,England & Wales
1996,F,SALMA,77,415,England & Wales
1996,F,BRIDIE,76,417,England & Wales
1996,F,KAREN,76,417,England & Wales
1996,F,KYLIE,76,417,England & Wales
1996,F,MADELAINE,76,417,England & Wales
1996,F,ROWAN,76,417,England & Wales
1996,F,SABAH,75,422,England & Wales
1996,F,TORI,75,422,England & Wales
1996,F,ALYSHA,74,424,England & Wales
1996,F,ANDREA,74,424,England & Wales
1996,F,CHANTEL,74,424,England & Wales
1996,F,HALEEMA,74,424,England & Wales
1996,F,BRONWYN,73,428,England & Wales
1996,F,KERRIE,73,428,England & Wales
1996,F,MANISHA,73,428,England & Wales
1996,F,SAIRA,73,428,England & Wales
1996,F,ABBI,72,432,England & Wales
1996,F,ANNE,72,432,England & Wales
1996,F,ELYSIA,72,432,England & Wales
1996,F,HAFSA,72,432,England & Wales
1996,F,ANITA,71,436,England & Wales
1996,F,AOIFE,71,436,England & Wales
1996,F,JULIE,71,436,England & Wales
1996,F,SAIMA,71,436,England & Wales
1996,F,AISLING,70,440,England & Wales
1996,F,DONNA,69,441,England & Wales
1996,F,IRAM,69,441,England & Wales
1996,F,AMI,68,443,England & Wales
1996,F,FARAH,68,443,England & Wales
1996,F,PATRICIA,68,443,England & Wales
1996,F,ELIN,67,446,England & Wales
1996,F,RENEE,67,446,England & Wales
1996,F,BOBBIE,66,448,England & Wales
1996,F,CANDICE,66,448,England & Wales
1996,F,GENEVIEVE,66,448,England & Wales
1996,F,KAY,66,448,England & Wales
1996,F,KELSIE,66,448,England & Wales
1996,F,MICA,66,448,England & Wales
1996,F,MILLICENT,66,448,England & Wales
1996,F,JOY,65,455,England & Wales
1996,F,KARINA,65,455,England & Wales
1996,F,KRISTINA,65,455,England & Wales
1996,F,ROSALIND,65,455,England & Wales
1996,F,ASHA,63,459,England & Wales
1996,F,KARLA,63,459,England & Wales
1996,F,ROSA,63,459,England & Wales
1996,F,BIANCA,62,462,England & Wales
1996,F,CAMILLA,62,462,England & Wales
1996,F,JAZMIN,62,462,England & Wales
1996,F,MAXINE,62,462,England & Wales
1996,F,ALIYAH,61,466,England & Wales
1996,F,CODIE,61,466,England & Wales
1996,F,JODY,61,466,England & Wales
1996,F,KAYLEE,61,466,England & Wales
1996,F,CARMEN,60,470,England & Wales
1996,F,KELLIE,60,470,England & Wales
1996,F,THEA,60,470,England & Wales
1996,F,ANISAH,59,473,England & Wales
1996,F,BRONTE,59,473,England & Wales
1996,F,KARIS,59,473,England & Wales
1996,F,LEVI,59,473,England & Wales
1996,F,LILLIE,59,473,England & Wales
1996,F,STACIE,59,473,England & Wales
1996,F,COLETTE,58,479,England & Wales
1996,F,JAYDE,58,479,England & Wales
1996,F,JAZMINE,58,479,England & Wales
1996,F,SAPPHIRE,58,479,England & Wales
1996,F,VICKY,58,479,England & Wales
1996,F,HENRIETTA,57,484,England & Wales
1996,F,JULIET,57,484,England & Wales
1996,F,KAITLIN,57,484,England & Wales
1996,F,LEONA,57,484,England & Wales
1996,F,REMI,57,484,England & Wales
1996,F,SACHA,57,484,England & Wales
1996,F,TASMIN,57,484,England & Wales
1996,F,ALEXIS,56,491,England & Wales
1996,F,ALIYA,56,491,England & Wales
1996,F,BRIDGET,56,491,England & Wales
1996,F,EILISH,56,491,England & Wales
1996,F,HANA,56,491,England & Wales
1996,F,MARINA,56,491,England & Wales
1996,F,REANNE,56,491,England & Wales
1996,F,TALLULAH,56,491,England & Wales
1996,F,NISHA,55,499,England & Wales
1996,F,AISHAH,54,500,England & Wales
1996,F,HAYLEIGH,54,500,England & Wales
1996,F,ANNALISE,53,502,England & Wales
1996,F,KYRA,53,502,England & Wales
1996,F,MARIANNE,53,502,England & Wales
1996,F,SARAH-JANE,53,502,England & Wales
1996,F,ANIKA,52,506,England & Wales
1996,F,ASHLEA,52,506,England & Wales
1996,F,CHARIS,52,506,England & Wales
1996,F,LAURIE,52,506,England & Wales
1996,F,LIA,52,506,England & Wales
1996,F,LINDSAY,52,506,England & Wales
1996,F,SKY,52,506,England & Wales
1996,F,TANIA,52,506,England & Wales
1996,F,LARISSA,51,514,England & Wales
1996,F,MAY,51,514,England & Wales
1996,F,SHANNEN,51,514,England & Wales
1996,F,LYNDSEY,50,517,England & Wales
1996,F,MEG,50,517,England & Wales
1996,F,ALYS,49,519,England & Wales
1996,F,ARABELLA,49,519,England & Wales
1996,F,CORINNE,49,519,England & Wales
1996,F,JUSTINE,49,519,England & Wales
1996,F,MILLY,49,519,England & Wales
1996,F,RIANNE,49,519,England & Wales
1996,F,TERI,49,519,England & Wales
1996,F,DANNIELLA,48,526,England & Wales
1996,F,KAYLA,48,526,England & Wales
1996,F,KIA,48,526,England & Wales
1996,F,MAARIYAH,48,526,England & Wales
1996,F,MARISSA,48,526,England & Wales
1996,F,ROBERTA,48,526,England & Wales
1996,F,TERESA,48,526,England & Wales
1996,F,ABBIGAIL,47,533,England & Wales
1996,F,ABI,47,533,England & Wales
1996,F,ASMA,47,533,England & Wales
1996,F,KITTY,47,533,England & Wales
1996,F,LILLIAN,47,533,England & Wales
1996,F,MARIYA,47,533,England & Wales
1996,F,ANN,46,539,England & Wales
1996,F,FARHANA,46,539,England & Wales
1996,F,HUMAIRA,46,539,England & Wales
1996,F,JAIME,46,539,England & Wales
1996,F,JAMIE-LEE,46,539,England & Wales
1996,F,KHADIJA,46,539,England & Wales
1996,F,PENELOPE,46,539,England & Wales
1996,F,SANAH,46,539,England & Wales
1996,F,SEREN,46,539,England & Wales
1996,F,SHARON,46,539,England & Wales
1996,F,BRONWEN,45,549,England & Wales
1996,F,DARCIE,45,549,England & Wales
1996,F,ERIKA,45,549,England & Wales
1996,F,FARZANA,45,549,England & Wales
1996,F,KASEY,45,549,England & Wales
1996,F,LIANNE,45,549,England & Wales
1996,F,NATHALIE,45,549,England & Wales
1996,F,ORLA,45,549,England & Wales
1996,F,PAULA,45,549,England & Wales
1996,F,SCARLET,45,549,England & Wales
1996,F,SHAUNNA,45,549,England & Wales
1996,F,TINA,45,549,England & Wales
1996,F,TONICHA,45,549,England & Wales
1996,F,CELIA,44,562,England & Wales
1996,F,DREW,44,562,England & Wales
1996,F,ISOBELLE,44,562,England & Wales
1996,F,LETITIA,44,562,England & Wales
1996,F,MAISY,44,562,England & Wales
1996,F,REBEKKA,44,562,England & Wales
1996,F,REMY,44,562,England & Wales
1996,F,ROSEANNA,44,562,England & Wales
1996,F,TASNIM,44,562,England & Wales
1996,F,ALANNA,43,571,England & Wales
1996,F,BELINDA,43,571,England & Wales
1996,F,BOBBI,43,571,England & Wales
1996,F,CHANTAL,43,571,England & Wales
1996,F,DANI,43,571,England & Wales
1996,F,DANIELA,43,571,England & Wales
1996,F,DEBBIE,43,571,England & Wales
1996,F,ELLIE-MAE,43,571,England & Wales
1996,F,HONOR,43,571,England & Wales
1996,F,JASPREET,43,571,England & Wales
1996,F,MISHA,43,571,England & Wales
1996,F,ALEXIA,42,582,England & Wales
1996,F,ALINA,42,582,England & Wales
1996,F,AMANDEEP,42,582,England & Wales
1996,F,ELSPETH,42,582,England & Wales
1996,F,FAIZA,42,582,England & Wales
1996,F,KARISHMA,42,582,England & Wales
1996,F,KEZIA,42,582,England & Wales
1996,F,NICHOLA,42,582,England & Wales
1996,F,SHANA,42,582,England & Wales
1996,F,SIONED,42,582,England & Wales
1996,F,STELLA,42,582,England & Wales
1996,F,SUZANNA,42,582,England & Wales
1996,F,BILLIE-JO,41,594,England & Wales
1996,F,DAVINA,41,594,England & Wales
1996,F,IMAN,41,594,England & Wales
1996,F,JORDANNA,41,594,England & Wales
1996,F,MARNIE,41,594,England & Wales
1996,F,MEERA,41,594,England & Wales
1996,F,RIO,41,594,England & Wales
1996,F,ROWENA,41,594,England & Wales
1996,F,SAFIA,41,594,England & Wales
1996,F,SAMINA,41,594,England & Wales
1996,F,SHANNAN,41,594,England & Wales
1996,F,STACY,41,594,England & Wales
1996,F,TAYLER,41,594,England & Wales
1996,F,YAZMIN,41,594,England & Wales
1996,F,ADRIENNE,40,608,England & Wales
1996,F,BRODIE,40,608,England & Wales
1996,F,CAMILLE,40,608,England & Wales
1996,F,CHANTE,40,608,England & Wales
1996,F,GIORGIA,40,608,England & Wales
1996,F,KIAH,40,608,England & Wales
1996,F,KRISTEN,40,608,England & Wales
1996,F,LEANNA,40,608,England & Wales
1996,F,LILIAN,40,608,England & Wales
1996,F,MELODY,40,608,England & Wales
1996,F,PAISLEY,40,608,England & Wales
1996,F,SAVANNA,40,608,England & Wales
1996,F,BERNADETTE,39,620,England & Wales
1996,F,DAWN,39,620,England & Wales
1996,F,DEMI-LEIGH,39,620,England & Wales
1996,F,IKRA,39,620,England & Wales
1996,F,JOHANNA,39,620,England & Wales
1996,F,KAITLYN,39,620,England & Wales
1996,F,KRISTY,39,620,England & Wales
1996,F,LEIA,39,620,England & Wales
1996,F,LOLA,39,620,England & Wales
1996,F,LUISA,39,620,England & Wales
1996,F,MAE,39,620,England & Wales
1996,F,MERCEDES,39,620,England & Wales
1996,F,PRIYANKA,39,620,England & Wales
1996,F,SABINA,39,620,England & Wales
1996,F,SHANI,39,620,England & Wales
1996,F,AILISH,38,635,England & Wales
1996,F,CARLIE,38,635,England & Wales
1996,F,CORA,38,635,England & Wales
1996,F,JAYNE,38,635,England & Wales
1996,F,NAFEESA,38,635,England & Wales
1996,F,NAZIA,38,635,England & Wales
1996,F,PHILLIPA,38,635,England & Wales
1996,F,SABA,38,635,England & Wales
1996,F,ASHTON,37,643,England & Wales
1996,F,CALLIE,37,643,England & Wales
1996,F,CHANICE,37,643,England & Wales
1996,F,DINA,37,643,England & Wales
1996,F,KEISHA,37,643,England & Wales
1996,F,KELSEA,37,643,England & Wales
1996,F,KERI,37,643,England & Wales
1996,F,KEZIAH,37,643,England & Wales
1996,F,LORI,37,643,England & Wales
1996,F,MADDIE,37,643,England & Wales
1996,F,MIKAELA,37,643,England & Wales
1996,F,NEELAM,37,643,England & Wales
1996,F,RABIA,37,643,England & Wales
1996,F,ROSHNI,37,643,England & Wales
1996,F,SAMARA,37,643,England & Wales
1996,F,SAMIRA,37,643,England & Wales
1996,F,SARAH-LOUISE,37,643,England & Wales
1996,F,TESS,37,643,England & Wales
1996,F,AINE,36,661,England & Wales
1996,F,AMARA,36,661,England & Wales
1996,F,ANA,36,661,England & Wales
